PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,0,3,1,22.0,1,0,7.25,75.0,2.0
5,0,3,1,35.0,0,0,8.05,75.0,2.0
6,0,3,1,29.69911764705882,0,0,8.4583,75.0,1.0
7,0,1,1,54.0,0,0,51.8625,129.0,2.0
8,0,3,1,2.0,3,1,21.075,75.0,2.0
13,0,3,1,20.0,0,0,8.05,75.0,2.0
14,0,3,1,39.0,1,5,31.275,75.0,2.0
17,0,3,1,2.0,4,1,29.125,75.0,1.0
21,0,2,1,35.0,0,0,26.0,75.0,2.0
27,0,3,1,29.69911764705882,0,0,7.225,75.0,0.0
28,0,1,1,19.0,3,2,263.0,63.0,2.0
30,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
31,0,1,1,40.0,0,0,27.7208,75.0,0.0
34,0,2,1,66.0,0,0,10.5,75.0,2.0
35,0,1,1,28.0,1,0,82.1708,75.0,0.0
36,0,1,1,42.0,1,0,52.0,75.0,2.0
38,0,3,1,21.0,0,0,8.05,75.0,2.0
43,0,3,1,29.69911764705882,0,0,7.8958,75.0,0.0
46,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
47,0,3,1,29.69911764705882,1,0,15.5,75.0,1.0
49,0,3,1,29.69911764705882,2,0,21.6792,75.0,0.0
51,0,3,1,7.0,4,1,39.6875,75.0,2.0
52,0,3,1,21.0,0,0,7.8,75.0,2.0
55,0,1,1,65.0,0,1,61.9792,23.0,0.0
58,0,3,1,28.5,0,0,7.2292,75.0,0.0
60,0,3,1,11.0,5,2,46.9,75.0,2.0
61,0,3,1,22.0,0,0,7.2292,75.0,0.0
63,0,1,1,45.0,1,0,83.475,80.0,2.0
64,0,3,1,4.0,3,2,27.9,75.0,2.0
65,0,1,1,29.69911764705882,0,0,27.7208,75.0,0.0
68,0,3,1,19.0,0,0,8.1583,75.0,2.0
70,0,3,1,26.0,2,0,8.6625,75.0,2.0
71,0,2,1,32.0,0,0,10.5,75.0,2.0
73,0,2,1,21.0,0,0,73.5,75.0,2.0
74,0,3,1,26.0,1,0,14.4542,75.0,0.0
76,0,3,1,25.0,0,0,7.65,140.0,2.0
77,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
78,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
81,0,3,1,22.0,0,0,9.0,75.0,2.0
84,0,1,1,28.0,0,0,47.1,75.0,2.0
87,0,3,1,16.0,1,3,34.375,75.0,2.0
88,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
90,0,3,1,24.0,0,0,8.05,75.0,2.0
91,0,3,1,29.0,0,0,8.05,75.0,2.0
92,0,3,1,20.0,0,0,7.8542,75.0,2.0
93,0,1,1,46.0,1,0,61.175,122.0,2.0
94,0,3,1,26.0,1,2,20.575,75.0,2.0
95,0,3,1,59.0,0,0,7.25,75.0,2.0
96,0,3,1,29.69911764705882,0,0,8.05,75.0,2.0
97,0,1,1,71.0,0,0,34.6542,12.0,0.0
100,0,2,1,34.0,1,0,26.0,75.0,2.0
102,0,3,1,29.69911764705882,0,0,7.8958,75.0,2.0
103,0,1,1,21.0,0,1,77.2875,98.0,2.0
104,0,3,1,33.0,0,0,8.6542,75.0,2.0
105,0,3,1,37.0,2,0,7.925,75.0,2.0
106,0,3,1,28.0,0,0,7.8958,75.0,2.0
109,0,3,1,38.0,0,0,7.8958,75.0,2.0
111,0,1,1,47.0,0,0,52.0,52.0,2.0
113,0,3,1,22.0,0,0,8.05,75.0,2.0
