PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
2,1,1,0,38.0,1,0,71.2833,81.0,0.0
3,1,3,0,26.0,0,0,7.925,75.0,2.0
4,1,1,0,35.0,1,0,53.1,55.0,2.0
9,1,3,0,27.0,0,2,11.1333,75.0,2.0
10,1,2,0,14.0,1,0,30.0708,75.0,0.0
11,1,3,0,4.0,1,1,16.7,145.0,2.0
12,1,1,0,58.0,0,0,26.55,49.0,2.0
16,1,2,0,55.0,0,0,16.0,75.0,2.0
20,1,3,0,29.69911764705882,0,0,7.225,75.0,0.0
23,1,3,0,15.0,0,0,8.0292,75.0,1.0
26,1,3,0,38.0,1,5,31.3875,75.0,2.0
29,1,3,0,29.69911764705882,0,0,7.8792,75.0,1.0
32,1,1,0,29.69911764705882,1,0,146.5208,41.0,0.0
33,1,3,0,29.69911764705882,0,0,7.75,75.0,1.0
40,1,3,0,14.0,1,0,11.2417,75.0,0.0
44,1,2,0,3.0,1,2,41.5792,75.0,0.0
45,1,3,0,19.0,0,0,7.8792,75.0,1.0
48,1,3,0,29.69911764705882,0,0,7.75,75.0,1.0
53,1,1,0,49.0,1,0,76.7292,101.0,0.0
54,1,2,0,29.0,1,0,26.0,75.0,2.0
57,1,2,0,21.0,0,0,10.5,75.0,2.0
59,1,2,0,5.0,1,2,27.75,75.0,2.0
62,1,1,0,38.0,0,0,80.0,21.0,2.0
67,1,2,0,29.0,0,0,10.5,142.0,2.0
69,1,3,0,17.0,4,2,7.925,75.0,2.0
80,1,3,0,30.0,0,0,12.475,75.0,2.0
83,1,3,0,29.69911764705882,0,0,7.7875,75.0,1.0
85,1,2,0,17.0,0,0,10.5,75.0,2.0
86,1,3,0,33.0,3,0,15.85,75.0,2.0
89,1,1,0,23.0,3,2,263.0,63.0,2.0
99,1,2,0,34.0,0,1,23.0,75.0,2.0
107,1,3,0,21.0,0,0,7.65,75.0,2.0
110,1,3,0,29.69911764705882,1,0,24.15,75.0,1.0
124,1,2,0,32.5,0,0,13.0,116.0,2.0
129,1,3,0,29.69911764705882,1,1,22.3583,138.0,0.0
134,1,2,0,29.0,1,0,26.0,75.0,2.0
137,1,1,0,19.0,0,2,26.2833,107.0,2.0
142,1,3,0,22.0,0,0,7.75,75.0,2.0
143,1,3,0,24.0,1,0,15.85,75.0,2.0
152,1,1,0,22.0,1,0,66.6,61.0,2.0
157,1,3,0,16.0,0,0,7.7333,75.0,1.0
162,1,2,0,40.0,0,0,15.75,75.0,2.0
167,1,1,0,29.69911764705882,0,1,55.0,123.0,2.0
