"","PassengerId","Survived","Pclass","Sex","Age","Ticket","Fare","Cabin","Cab"
"1",1,0,3,"male",22,"A/5 21171",7.25,"B96 B98","C"
"2",2,1,1,"female",38,"PC 17599",71.2833,"C85","C"
"3",3,1,3,"female",26,"STON/O2. 3101282",7.925,"B96 B98","C"
"4",4,1,1,"female",35,"113803",53.1,"C123","C"
"5",5,0,3,"male",35,"373450",8.05,"B96 B98","C"
"6",6,0,3,"male",29.6991176470588,"330877",8.4583,"B96 B98","C"
"7",7,0,1,"male",54,"17463",51.8625,"E46","E"
"8",8,0,3,"male",2,"349909",21.075,"B96 B98","C"
"9",9,1,3,"female",27,"347742",11.1333,"B96 B98","C"
"10",10,1,2,"female",14,"237736",30.0708,"B96 B98","C"
"11",11,1,3,"female",4,"PP 9549",16.7,"G6","G"
"12",12,1,1,"female",58,"113783",26.55,"C103","C"
"13",13,0,3,"male",20,"A/5. 2151",8.05,"B96 B98","C"
"14",14,0,3,"male",39,"347082",31.275,"B96 B98","C"
"15",15,0,3,"female",14,"350406",7.8542,"B96 B98","C"
"16",16,1,2,"female",55,"248706",16,"B96 B98","C"
"17",17,0,3,"male",2,"382652",29.125,"B96 B98","C"
"18",18,1,2,"male",29.6991176470588,"244373",13,"B96 B98","C"
"19",19,0,3,"female",31,"345763",18,"B96 B98","C"
"20",20,1,3,"female",29.6991176470588,"2649",7.225,"B96 B98","C"
"21",21,0,2,"male",35,"239865",26,"B96 B98","C"
"22",22,1,2,"male",34,"248698",13,"D56","D"
"23",23,1,3,"female",15,"330923",8.0292,"B96 B98","C"
"24",24,1,1,"male",28,"113788",35.5,"A6","A"
"25",25,0,3,"female",8,"349909",21.075,"B96 B98","C"
"26",26,1,3,"female",38,"347077",31.3875,"B96 B98","C"
"27",27,0,3,"male",29.6991176470588,"2631",7.225,"B96 B98","C"
"28",28,0,1,"male",19,"19950",263,"C23 C25 C27","C"
"29",29,1,3,"female",29.6991176470588,"330959",7.8792,"B96 B98","C"
"30",30,0,3,"male",29.6991176470588,"349216",7.8958,"B96 B98","C"
"31",31,0,1,"male",40,"PC 17601",27.7208,"B96 B98","C"
"32",32,1,1,"female",29.6991176470588,"PC 17569",146.5208,"B78","B"
"33",33,1,3,"female",29.6991176470588,"335677",7.75,"B96 B98","C"
"34",34,0,2,"male",66,"C.A. 24579",10.5,"B96 B98","C"
"35",35,0,1,"male",28,"PC 17604",82.1708,"B96 B98","C"
"36",36,0,1,"male",42,"113789",52,"B96 B98","C"
"37",37,1,3,"male",29.6991176470588,"2677",7.2292,"B96 B98","C"
"38",38,0,3,"male",21,"A./5. 2152",8.05,"B96 B98","C"
"39",39,0,3,"female",18,"345764",18,"B96 B98","C"
"40",40,1,3,"female",14,"2651",11.2417,"B96 B98","C"
"41",41,0,3,"female",40,"7546",9.475,"B96 B98","C"
"42",42,0,2,"female",27,"11668",21,"B96 B98","C"
"43",43,0,3,"male",29.6991176470588,"349253",7.8958,"B96 B98","C"
"44",44,1,2,"female",3,"SC/Paris 2123",41.5792,"B96 B98","C"
"45",45,1,3,"female",19,"330958",7.8792,"B96 B98","C"
"46",46,0,3,"male",29.6991176470588,"S.C./A.4. 23567",8.05,"B96 B98","C"
"47",47,0,3,"male",29.6991176470588,"370371",15.5,"B96 B98","C"
"48",48,1,3,"female",29.6991176470588,"14311",7.75,"B96 B98","C"
"49",49,0,3,"male",29.6991176470588,"2662",21.6792,"B96 B98","C"
"50",50,0,3,"female",18,"349237",17.8,"B96 B98","C"
"51",51,0,3,"male",7,"3101295",39.6875,"B96 B98","C"
"52",52,0,3,"male",21,"A/4. 39886",7.8,"B96 B98","C"
"53",53,1,1,"female",49,"PC 17572",76.7292,"D33","D"
"54",54,1,2,"female",29,"2926",26,"B96 B98","C"
"55",55,0,1,"male",65,"113509",61.9792,"B30","B"
"56",56,1,1,"male",29.6991176470588,"19947",35.5,"C52","C"
"57",57,1,2,"female",21,"C.A. 31026",10.5,"B96 B98","C"
"58",58,0,3,"male",28.5,"2697",7.2292,"B96 B98","C"
"59",59,1,2,"female",5,"C.A. 34651",27.75,"B96 B98","C"
"60",60,0,3,"male",11,"CA 2144",46.9,"B96 B98","C"
"61",61,0,3,"male",22,"2669",7.2292,"B96 B98","C"
"62",62,1,1,"female",38,"113572",80,"B28","B"
"63",63,0,1,"male",45,"36973",83.475,"C83","C"
"64",64,0,3,"male",4,"347088",27.9,"B96 B98","C"
"65",65,0,1,"male",29.6991176470588,"PC 17605",27.7208,"B96 B98","C"
"66",66,1,3,"male",29.6991176470588,"2661",15.2458,"B96 B98","C"
"67",67,1,2,"female",29,"C.A. 29395",10.5,"F33","F"
"68",68,0,3,"male",19,"S.P. 3464",8.1583,"B96 B98","C"
"69",69,1,3,"female",17,"3101281",7.925,"B96 B98","C"
"70",70,0,3,"male",26,"315151",8.6625,"B96 B98","C"
"71",71,0,2,"male",32,"C.A. 33111",10.5,"B96 B98","C"
"72",72,0,3,"female",16,"CA 2144",46.9,"B96 B98","C"
"73",73,0,2,"male",21,"S.O.C. 14879",73.5,"B96 B98","C"
"74",74,0,3,"male",26,"2680",14.4542,"B96 B98","C"
"75",75,1,3,"male",32,"1601",56.4958,"B96 B98","C"
"76",76,0,3,"male",25,"348123",7.65,"F G73","F"
"77",77,0,3,"male",29.6991176470588,"349208",7.8958,"B96 B98","C"
"78",78,0,3,"male",29.6991176470588,"374746",8.05,"B96 B98","C"
"79",79,1,2,"male",0.83,"248738",29,"B96 B98","C"
"80",80,1,3,"female",30,"364516",12.475,"B96 B98","C"
"81",81,0,3,"male",22,"345767",9,"B96 B98","C"
"82",82,1,3,"male",29,"345779",9.5,"B96 B98","C"
"83",83,1,3,"female",29.6991176470588,"330932",7.7875,"B96 B98","C"
"84",84,0,1,"male",28,"113059",47.1,"B96 B98","C"
"85",85,1,2,"female",17,"SO/C 14885",10.5,"B96 B98","C"
"86",86,1,3,"female",33,"3101278",15.85,"B96 B98","C"
"87",87,0,3,"male",16,"W./C. 6608",34.375,"B96 B98","C"
"88",88,0,3,"male",29.6991176470588,"SOTON/OQ 392086",8.05,"B96 B98","C"
"89",89,1,1,"female",23,"19950",263,"C23 C25 C27","C"
"90",90,0,3,"male",24,"343275",8.05,"B96 B98","C"
"91",91,0,3,"male",29,"343276",8.05,"B96 B98","C"
"92",92,0,3,"male",20,"347466",7.8542,"B96 B98","C"
"93",93,0,1,"male",46,"W.E.P. 5734",61.175,"E31","E"
"94",94,0,3,"male",26,"C.A. 2315",20.575,"B96 B98","C"
"95",95,0,3,"male",59,"364500",7.25,"B96 B98","C"
"96",96,0,3,"male",29.6991176470588,"374910",8.05,"B96 B98","C"
"97",97,0,1,"male",71,"PC 17754",34.6542,"A5","A"
"98",98,1,1,"male",23,"PC 17759",63.3583,"D10 D12","D"
"99",99,1,2,"female",34,"231919",23,"B96 B98","C"
"100",100,0,2,"male",34,"244367",26,"B96 B98","C"
"101",101,0,3,"female",28,"349245",7.8958,"B96 B98","C"
"102",102,0,3,"male",29.6991176470588,"349215",7.8958,"B96 B98","C"
"103",103,0,1,"male",21,"35281",77.2875,"D26","D"
"104",104,0,3,"male",33,"7540",8.6542,"B96 B98","C"
"105",105,0,3,"male",37,"3101276",7.925,"B96 B98","C"
"106",106,0,3,"male",28,"349207",7.8958,"B96 B98","C"
"107",107,1,3,"female",21,"343120",7.65,"B96 B98","C"
"108",108,1,3,"male",29.6991176470588,"312991",7.775,"B96 B98","C"
"109",109,0,3,"male",38,"349249",7.8958,"B96 B98","C"
"110",110,1,3,"female",29.6991176470588,"371110",24.15,"B96 B98","C"
"111",111,0,1,"male",47,"110465",52,"C110","C"
"112",112,0,3,"female",14.5,"2665",14.4542,"B96 B98","C"
"113",113,0,3,"male",22,"324669",8.05,"B96 B98","C"
"114",114,0,3,"female",20,"4136",9.825,"B96 B98","C"
"115",115,0,3,"female",17,"2627",14.4583,"B96 B98","C"
"116",116,0,3,"male",21,"STON/O 2. 3101294",7.925,"B96 B98","C"
"117",117,0,3,"male",70.5,"370369",7.75,"B96 B98","C"
"118",118,0,2,"male",29,"11668",21,"B96 B98","C"
"119",119,0,1,"male",24,"PC 17558",247.5208,"B58 B60","B"
"120",120,0,3,"female",2,"347082",31.275,"B96 B98","C"
"121",121,0,2,"male",21,"S.O.C. 14879",73.5,"B96 B98","C"
"122",122,0,3,"male",29.6991176470588,"A4. 54510",8.05,"B96 B98","C"
"123",123,0,2,"male",32.5,"237736",30.0708,"B96 B98","C"
"124",124,1,2,"female",32.5,"27267",13,"E101","E"
"125",125,0,1,"male",54,"35281",77.2875,"D26","D"
"126",126,1,3,"male",12,"2651",11.2417,"B96 B98","C"
"127",127,0,3,"male",29.6991176470588,"370372",7.75,"B96 B98","C"
"128",128,1,3,"male",24,"C 17369",7.1417,"B96 B98","C"
"129",129,1,3,"female",29.6991176470588,"2668",22.3583,"F E69","F"
"130",130,0,3,"male",45,"347061",6.975,"B96 B98","C"
"131",131,0,3,"male",33,"349241",7.8958,"B96 B98","C"
"132",132,0,3,"male",20,"SOTON/O.Q. 3101307",7.05,"B96 B98","C"
"133",133,0,3,"female",47,"A/5. 3337",14.5,"B96 B98","C"
"134",134,1,2,"female",29,"228414",26,"B96 B98","C"
"135",135,0,2,"male",25,"C.A. 29178",13,"B96 B98","C"
"136",136,0,2,"male",23,"SC/PARIS 2133",15.0458,"B96 B98","C"
"137",137,1,1,"female",19,"11752",26.2833,"D47","D"
"138",138,0,1,"male",37,"113803",53.1,"C123","C"
"139",139,0,3,"male",16,"7534",9.2167,"B96 B98","C"
"140",140,0,1,"male",24,"PC 17593",79.2,"B86","B"
